,Long,Lat,Code,Campground,Type,City,State
,42.953,-92.875,ACKL,Ackley Creek County Park,CP,Marble Rock,IA
,41.738,-93.724,ACOR,Acorn Valley - Saylorville Lake,COE,Des Moines,IA
,41.498,-94.643,ADAI,Adair City Park,CP,Adair,IA
,43.12,-92.21,ADOL,Adolph Munson Park,CP,New Hampton,IA
,43.09,-92.348,AIRP,Airport Lake Park,CP,New Hampton,IA
,42.832,-96.556,AKRO,Akron City Park,CP,Akron,IA
,41.711,-94.926,ALBE,Albert the Bull CG,CP,Audubon,IA
,42.88,-92.313,ALCO,Alcock Park,CP,Frederika,IA
,42.998,-96.005,ALTO,Alton Roadside Park,CP,Alton,IA
,43.052,-94.247,AMBR,Ambrose Call State Park,SP,Algona,IA
,42.026,-93.609,AMES,Ames Bandshell City Park,CP,Ames,IA
,43.366,-95.131,ARNO,Arnolds Park City Park,CP,Arnolds Park,IA
,41.432,-95.59,ARRO,Arrowhead Park,CP,Neola,IA
,41.814,-93.289,ASHT,Ashton Wildwood Park,CP,Baxter,IA
,40.768,-91.968,AUST,Austin County Park,CP,Keosauqua,IA
,42.616,-91.56,BACK,Backbone State Park,SP,Dundee,IA
,42.447,-91.411,BAIL,Baileys Ford,CP,Manchester.,IA
,42.56,-90.953,BANK,Bankston Park,CP,Holy Cross,IA
,42.583,-92.787,BEAV,Beaver Meadows Co Park,CP,Parkersburg,IA
,42.768,-93.236,BEED,Beeds Lake State Park,SP,Hampton,IA
,42.247,-90.423,BELV,Bellevue State Park,SP,Bellevue,IA
,42.34,-93.889,BELM,Bells Mills County Park,CP,Stratford,IA
,41.386,-92.151,BELD,Belva - Deer Rec Area,CP,Sigourney,IA
,41.746,-90.922,BENN,Bennett Park,CP,Bennett,IA
,42.162,-91.918,BENT,Benton City  -  Fry Area,CP,Vinton,IA
,40.725,-91.852,BENS,Bentonsport,CP,Bentonsport,IA
,42.526,-93.386,BESS,Bessman-Kemp Co Park,CP,Alden,IA
,40.952,-91.226,BIGH,Big Hollow Creek Park,CP,Pleasant Grove,IA
,42.556,-92.434,BIGW,Big Woods Lake,CP,Cedar Falls,IA
,42.306,-96.326,BIGE,Bigelow County Park,CP,Salix,IA
,42.563,-92.478,BLAP,Black Hawk County Park,CP,Cedar Falls,IA
,42.292,-95.017,BLAC,Black Hawk State Park,SP,Lake View,IA
,43.044,-91.212,BLOO,Bloody Run County Park,CP,Marquette,IA
,41.701,-93.685,BOBS,Bob Shetler - Saylorville Lake,COE,Des Moines,IA
,40.708,-93.398,BOBW,Bobwhite State Park,SP,Allerton,IA
,41.396,-95.363,BOTN,Botna Bend County Park,CP,Hancock,IA
,42.236,-93.04,BREK,Brekke Memorial Park,CP,Union,IA
,40.876,-93.012,BRID,Bridgeview - Rathbun Lake,COE,Moravia,IA
,42.432,-93.802,BRIG,Briggs Woods Park,CP,Webster City,IA
,41.224,-91.85,BRIN,Brinton Timber,CP,Brighton,IA
,42.306,-96.326,BROW,Browns Lake  -  Bigelow Park,CP,Salix,IA
,42.306,-96.326,BROW,Browns Lake Bigelow Park,CP,Salix,IA
,42.394,-93.983,BRUS,Brushy Creek  State Rec Area,SRA,Lehigh,IA
,40.85,-92.869,BUCK,Buck Creek - Rathbun Lake,COE,Moravia,IA
,42.879,-91.209,BUCK,Buck Creek County Park,CP,,IA
,42.884,-95.338,BUEN,Buena Vista Co Park,CP,Linn Grove,IA
,42.471,-91.687,BUFA,Buffalo Creek Area,CP,Winthrop,IA
,42.287,-91.542,BUFC,Buffalo Creek County Park,CP,Coggon,IA
,41.454,-90.745,BUFF,Buffalo Shores County Park,CP,Buffalo,IA
,41.935,-90.182,BULG,Bulgers Hollow - Mississippi River,COE,Clinton,IA
,42.637,-96.319,BURO,Bur Oak - Hillview County Rec Area,CP,Hinton,IA
,43.488,-94.401,BURT,Burt Lake County Park,CP,Swea City,IA
,42.844,-92.761,CAMP,Camp Comfort ,CP,Greene,IA
,42.308,-95.043,CAMC,Camp Crescent Park,CP,Lake View,IA
,41.162,-91.014,CAPP,Cappy Russell Access,COE,Oakville,IA
,41.237,-95.424,CARS,Carson City Park,CP,Carson,IA
,41.509,-94.517,CASE,Casey City Park - Abram Rutt,CP,Casey,IA
,42.76,-92.494,CEDA,Cedar Bend Park,CP,Waverly,IA
,43.283,-92.855,CEDA,Cedar Bridge County Park,CP,Osage,IA
,41.258,-92.859,CEDA,Cedar Creek Access,CP,Oskaloosa,IA
,41.721,-91.235,CEDA,Cedar Valley Co Park,CP,Cedar Bluffs,IA
,42.959,-92.548,CEDV,Cedar View Park,CP,Nashua,IA
,42.11,-91.138,CENT,Central Park,CP,Center Junctio,IA
,41.303,-92.206,CHAC,Chacauqua River Access,CP,Sigourney,IA
,42.738,-95.557,CHEK,Cherokee City Park,CP,Cherokee,IA
,41.732,-93.68,CHER,Cherry Glen - Saylorville Lake,COE,Des Moines,IA
,41.791,-93.429,CHIC,Chichaqua Bottoms Greenbelt,CP,Maxwell,IA
,43.033,-92.503,CHIS,Chickasaw Park,CP,Ionia,IA
,43.07,-96.17,CHIL,Childrens Park,CP,Sioux Center,IA
,43.423,-91.939,CHIM,Chimney Rock County Park,CP,Cresco,IA
,40.863,-93.499,CIND,Cinder Path RV Park,CP,Humeston,IA
,41.458,-90.809,CLAR,Clarks Ferry - Mississippi River,COE,Muscatine,IA
,43.111,-93.389,CLEA,Clear Lake State Park,SP,Clear Lake,IA
,42.351,-95.476,COBB,Cobb City Park,CP,Ida Grove,IA
,41.255,-95.136,COCK,Cocklin Fish Farm,CP,Griswold,IA
,42.494,-91.534,COFF,Coffins Grove,CP,Manchester.,IA
,41.291,-95.084,COLS,Cold Spring Park,CP,Lewis,IA
,43.156,-92.642,COLW,Colwell County Park,CP,Colwell,IA
,42.624,-94.465,COOP,Coopers Cove Co Park,CP,Clare,IA
