,State,Illicit Drug Use (18+),Alcohol Use (18+),Substance Use Disorder (18+)
0,Total U.S.,6.82%,10.96%,10.96%
1,Northeast,6.75%,11.59%,11.59%
2,Midwest,6.87%,11.48%,11.48%
3,South,6.46%,9.38%,9.38%
4,West,7.41%,12.57%,12.57%
5,Alabama,5.63%,9.31%,9.31%
6,Alaska,7.87%,11.30%,11.30%
7,Arizona,7.76%,11.85%,11.85%
8,Arkansas,7.75%,9.12%,9.12%
9,California,6.72%,12.79%,12.79%
10,Colorado,9.01%,13.32%,13.32%
11,Connecticut,6.70%,12.21%,12.21%
12,Delaware,5.79%,10.82%,10.82%
13,District of Columbia,9.70%,17.83%,17.83%
14,Florida,7.48%,9.55%,9.55%
15,Georgia,5.33%,8.03%,8.03%
16,Hawaii,5.85%,10.31%,10.31%
17,Idaho,6.92%,10.87%,10.87%
18,Illinois,7.65%,11.51%,11.51%
19,Indiana,6.73%,10.05%,10.05%
20,Iowa,6.67%,10.55%,10.55%
21,Kansas,7.00%,13.48%,13.48%
22,Kentucky,6.04%,8.72%,8.72%
23,Louisiana,7.18%,10.65%,10.65%
24,Maine,7.40%,11.71%,11.71%
25,Maryland,6.69%,12.20%,12.20%
26,Massachusetts,7.89%,13.02%,13.02%
27,Michigan,7.89%,11.30%,11.30%
28,Minnesota,5.99%,13.29%,13.29%
29,Mississippi,7.48%,9.58%,9.58%
30,Missouri,6.79%,11.00%,11.00%
31,Montana,8.19%,12.10%,12.10%
32,Nebraska,7.17%,11.89%,11.89%
33,Nevada,8.65%,10.93%,10.93%
34,New Hampshire,7.39%,11.95%,11.95%
35,New Jersey,6.33%,11.85%,11.85%
36,New Mexico,7.00%,12.51%,12.51%
37,New York,6.37%,11.49%,11.49%
38,North Carolina,6.60%,9.41%,9.41%
39,North Dakota,6.59%,11.73%,11.73%
40,Ohio,5.96%,11.33%,11.33%
41,Oklahoma,7.89%,10.72%,10.72%
42,Oregon,9.17%,13.14%,13.14%
43,Pennsylvania,6.67%,10.36%,10.36%
44,Rhode Island,8.13%,12.91%,12.91%
45,South Carolina,5.94%,9.27%,9.27%
46,South Dakota,7.01%,13.19%,13.19%
47,Tennessee,7.01%,9.09%,9.09%
48,Texas,5.61%,8.18%,8.18%
49,Utah,6.60%,9.61%,9.61%
50,Vermont,7.80%,13.11%,13.11%
51,Virginia,5.94%,11.01%,11.01%
52,Washington,8.51%,14.00%,14.00%
53,West Virginia,7.62%,9.67%,9.67%
54,Wisconsin,6.26%,11.50%,11.50%
55,Wyoming,7.42%,13.06%,13.06%
