"Table 20. Illicit Drug Use Disorder in the Past Year: Among People Aged 12 or Older; by Age Group and State, Percentages, 2020  ","","","","","","","","","","","","","","","",""
"NOTE: Illicit Drug Use Disorder (IDUD) data in 2020 are based on criteria from the Diagnostic and Statistical Manual of Mental Disorders, 5th edition (DSM-5). IDUD estimates are based on only 2020 data because prior years’ IDUD data were based on DSM-IV criteria.","","","","","","","","","","","","","","","",""
"NOTE: Illicit Drug Use includes the misuse of prescription psychotherapeutics or the use of marijuana, cocaine (including crack), heroin, hallucinogens, inhalants, or methamphetamine. Misuse of prescription psychotherapeutics is defined as use in any way not directed by a doctor, including use without a prescription of one’s own; use in greater amounts, more often, or longer than told; or use in any other way not directed by a doctor. Prescription psychotherapeutics do not include over-the-counter drugs.","","","","","","","","","","","","","","","",""
"NOTE: State and census region estimates, along with the 95 percent Bayesian confidence (credible) intervals, are based on a survey-weighted hierarchical Bayes estimation approach and generated by Markov Chain Monte Carlo techniques. For the “Total U.S.” row, design-based (direct) estimates and corresponding 95 percent confidence intervals are given.","","","","","","","","","","","","","","","",""
"NOTE: The column labeled “Order” can be used to sort the data to the original sort order.","","","","","","","","","","","","","","","",""
"Source: SAMHSA, Center for Behavioral Health Statistics and Quality, National Survey on Drug Use and Health, Quarters 1 and 4, 2020.","","","","","","","","","","","","","","","",""
"Order","State","12+ Estimate","12+ 95% CI (Lower)","12+ 95% CI (Upper)","12-17 Estimate","12-17 95% CI (Lower)","12-17 95% CI (Upper)","18-25 Estimate","18-25 95% CI (Lower)","18-25 95% CI (Upper)","26+ Estimate","26+ 95% CI (Lower)","26+ 95% CI (Upper)","18+ Estimate","18+ 95% CI (Lower)","18+ 95% CI (Upper)"
"1","Total U.S.","6.64%","6.24%","7.07%","4.85%","4.10%","5.74%","14.56%","13.38%","15.83%","5.63%","5.18%","6.12%","6.82%","6.38%","7.29%"
"2","Northeast","6.61%","5.92%","7.37%","5.05%","4.03%","6.31%","13.66%","11.59%","16.04%","5.72%","4.94%","6.60%","6.75%","6.01%","7.57%"
"3","Midwest","6.73%","6.16%","7.35%","5.36%","4.39%","6.54%","14.94%","13.06%","17.04%","5.60%","4.94%","6.34%","6.87%","6.25%","7.54%"
"4","South","6.28%","5.76%","6.85%","4.53%","3.64%","5.63%","14.21%","12.32%","16.34%","5.28%","4.68%","5.95%","6.46%","5.90%","7.07%"
"5","West","7.17%","6.39%","8.03%","4.81%","3.73%","6.17%","15.42%","13.13%","18.04%","6.17%","5.29%","7.18%","7.41%","6.57%","8.34%"
"6","Alabama","5.57%","4.14%","7.44%","4.87%","3.15%","7.46%","10.35%","6.61%","15.86%","4.92%","3.39%","7.09%","5.63%","4.11%","7.67%"
"7","Alaska","7.71%","5.79%","10.19%","6.20%","4.14%","9.19%","16.87%","11.63%","23.82%","6.50%","4.45%","9.41%","7.87%","5.81%","10.58%"
"8","Arizona","7.47%","5.56%","9.96%","4.67%","3.06%","7.08%","15.84%","11.15%","22.01%","6.49%","4.41%","9.43%","7.76%","5.71%","10.47%"
"9","Arkansas","7.52%","5.63%","9.97%","5.35%","3.48%","8.12%","17.89%","12.56%","24.84%","6.17%","4.16%","9.06%","7.75%","5.72%","10.42%"
"10","California","6.48%","5.42%","7.73%","4.12%","2.81%","6.01%","13.55%","10.60%","17.17%","5.65%","4.46%","7.14%","6.72%","5.57%","8.07%"
"11","Colorado","8.72%","6.81%","11.11%","5.77%","3.86%","8.55%","20.53%","14.85%","27.67%","7.26%","5.24%","10.00%","9.01%","6.96%","11.59%"
"12","Connecticut","6.57%","4.91%","8.74%","5.18%","3.34%","7.95%","16.15%","10.82%","23.41%","5.23%","3.57%","7.60%","6.70%","4.92%","9.06%"
"13","Delaware","5.59%","4.18%","7.43%","3.30%","2.14%","5.07%","14.37%","9.82%","20.54%","4.62%","3.17%","6.70%","5.79%","4.28%","7.80%"
"14","District of Columbia","9.31%","6.95%","12.37%","2.61%","1.41%","4.76%","19.04%","13.33%","26.46%","8.10%","5.58%","11.60%","9.70%","7.22%","12.93%"
"15","Florida","7.27%","6.01%","8.78%","4.89%","3.45%","6.89%","17.08%","13.22%","21.78%","6.24%","4.87%","7.96%","7.48%","6.12%","9.10%"
"16","Georgia","5.13%","3.91%","6.70%","3.27%","2.12%","5.03%","12.01%","7.99%","17.65%","4.26%","3.00%","6.01%","5.33%","4.01%","7.06%"
"17","Hawaii","5.96%","4.28%","8.24%","7.25%","4.50%","11.48%","12.88%","8.29%","19.48%","4.96%","3.20%","7.63%","5.85%","4.08%","8.31%"
"18","Idaho","6.75%","5.13%","8.85%","5.32%","3.48%","8.05%","15.02%","10.58%","20.88%","5.61%","3.82%","8.17%","6.92%","5.17%","9.20%"
