"Table 23. Substance Use Disorder in the Past Year: Among People Aged 12 or Older; by Age Group and State, Percentages, 2020  ","","","","","","","","","","","","","","","",""
"NOTE: Substance Use Disorder (SUD) data in 2020 are based on criteria from the Diagnostic and Statistical Manual of Mental Disorders, 5th edition (DSM-5). SUD is defined as meeting the criteria for illicit drug or alcohol use disorder. SUD estimates are based on only 2020 data because prior years’ SUD data were based on DSM-IV criteria.","","","","","","","","","","","","","","","",""
"NOTE: Illicit Drug Use includes the misuse of prescription psychotherapeutics or the use of marijuana, cocaine (including crack), heroin, hallucinogens, inhalants, or methamphetamine. Misuse of prescription psychotherapeutics is defined as use in any way not directed by a doctor, including use without a prescription of one’s own; use in greater amounts, more often, or longer than told; or use in any other way not directed by a doctor. Prescription psychotherapeutics do not include over-the-counter drugs.","","","","","","","","","","","","","","","",""
"NOTE: State and census region estimates, along with the 95 percent Bayesian confidence (credible) intervals, are based on a survey-weighted hierarchical Bayes estimation approach and generated by Markov Chain Monte Carlo techniques. For the “Total U.S.” row, design-based (direct) estimates and corresponding 95 percent confidence intervals are given.","","","","","","","","","","","","","","","",""
"NOTE: The column labeled “Order” can be used to sort the data to the original sort order.","","","","","","","","","","","","","","","",""
"Source: SAMHSA, Center for Behavioral Health Statistics and Quality, National Survey on Drug Use and Health, Quarters 1 and 4, 2020.","","","","","","","","","","","","","","","",""
"Order","State","12+ Estimate","12+ 95% CI (Lower)","12+ 95% CI (Upper)","12-17 Estimate","12-17 95% CI (Lower)","12-17 95% CI (Upper)","18-25 Estimate","18-25 95% CI (Lower)","18-25 95% CI (Upper)","26+ Estimate","26+ 95% CI (Lower)","26+ 95% CI (Upper)","18+ Estimate","18+ 95% CI (Lower)","18+ 95% CI (Upper)"
"1","Total U.S.","14.54%","13.90%","15.20%","6.34%","5.44%","7.38%","24.39%","22.79%","26.07%","13.97%","13.22%","14.74%","15.35%","14.65%","16.08%"
"2","Northeast","15.07%","13.90%","16.32%","6.87%","5.51%","8.52%","25.60%","22.75%","28.67%","14.35%","12.97%","15.85%","15.81%","14.53%","17.17%"
"3","Midwest","15.39%","14.43%","16.40%","6.81%","5.59%","8.27%","26.24%","23.69%","28.96%","14.69%","13.55%","15.91%","16.26%","15.21%","17.36%"
"4","South","13.05%","12.25%","13.89%","5.77%","4.68%","7.11%","23.46%","20.98%","26.14%","12.31%","11.38%","13.31%","13.79%","12.92%","14.71%"
"5","West","15.80%","14.61%","17.08%","6.51%","5.12%","8.26%","23.39%","20.52%","26.53%","15.71%","14.30%","17.24%","16.74%","15.45%","18.12%"
"6","Alabama","14.16%","11.51%","17.30%","6.11%","4.07%","9.07%","26.83%","20.53%","34.23%","13.15%","10.16%","16.85%","14.94%","12.08%","18.33%"
"7","Alaska","15.47%","12.61%","18.83%","5.06%","3.30%","7.67%","22.54%","17.05%","29.16%","15.66%","12.29%","19.76%","16.57%","13.45%","20.25%"
"8","Arizona","15.28%","12.40%","18.68%","6.06%","3.90%","9.30%","23.55%","17.87%","30.36%","15.10%","11.74%","19.21%","16.25%","13.13%","19.95%"
"9","Arkansas","14.03%","11.38%","17.18%","6.29%","4.04%","9.67%","28.91%","22.50%","36.29%","12.67%","9.64%","16.48%","14.85%","12.00%","18.25%"
"10","California","15.79%","13.96%","17.81%","6.64%","4.79%","9.14%","22.23%","18.43%","26.55%","15.84%","13.67%","18.28%","16.70%","14.72%","18.89%"
"11","Colorado","16.29%","13.50%","19.52%","6.37%","4.31%","9.33%","26.72%","20.96%","33.40%","15.81%","12.59%","19.67%","17.25%","14.24%","20.73%"
"12","Connecticut","15.87%","12.76%","19.56%","7.50%","4.92%","11.25%","30.48%","23.74%","38.17%","14.51%","10.95%","18.99%","16.66%","13.31%","20.66%"
"13","Delaware","14.70%","11.80%","18.16%","5.13%","3.33%","7.82%","23.29%","17.68%","30.03%","14.51%","11.20%","18.60%","15.57%","12.45%","19.31%"
"14","District of Columbia","20.26%","16.66%","24.42%","3.94%","2.32%","6.63%","27.03%","21.01%","34.04%","20.21%","15.97%","25.24%","21.21%","17.42%","25.57%"
"15","Florida","14.12%","12.20%","16.28%","5.99%","4.22%","8.43%","24.78%","20.52%","29.58%","13.52%","11.31%","16.08%","14.81%","12.76%","17.13%"
"16","Georgia","10.62%","8.62%","13.02%","4.30%","2.78%","6.60%","19.59%","14.82%","25.45%","9.98%","7.69%","12.84%","11.31%","9.14%","13.91%"
"17","Hawaii","13.14%","10.34%","16.55%","6.08%","3.88%","9.40%","22.38%","16.77%","29.20%","12.68%","9.53%","16.67%","13.77%","10.78%","17.42%"
"18","Idaho","14.19%","11.62%","17.23%","7.06%","4.77%","10.34%","24.35%","18.96%","30.68%","13.52%","10.51%","17.23%","15.02%","12.21%","18.36%"
"19","Illinois","15.82%","13.65%","18.26%","7.19%","5.09%","10.07%","24.65%","20.21%","29.69%","15.47%","12.96%","18.36%","16.69%","14.36%","19.31%"
"20","Indiana","13.82%","11.34%","16.75%","6.49%","4.33%","9.62%","27.52%","21.42%","34.59%","12.45%","9.67%","15.90%","14.61%","11.93%","17.78%"
"21","Iowa","14.87%","12.25%","17.94%","6.52%","4.33%","9.72%","33.27%","26.15%","41.24%","12.76%","9.80%","16.47%","15.73%","12.89%","19.06%"
"22","Kansas","17.50%","14.24%","21.32%","9.05%","6.21%","13.00%","29.10%","22.80%","36.31%","16.59%","12.80%","21.23%","18.42%","14.91%","22.54%"
"23","Kentucky","12.39%","10.18%","14.99%","6.59%","4.45%","9.66%","25.44%","19.74%","32.13%","11.04%","8.57%","14.11%","12.98%","10.61%","15.79%"
"24","Louisiana","15.45%","12.40%","19.07%","6.00%","3.93%","9.07%","22.06%","16.63%","28.66%","15.57%","12.02%","19.93%","16.43%","13.13%","20.36%"
"25","Maine","16.58%","13.60%","20.06%","7.46%","5.05%","10.90%","31.68%","24.95%","39.28%","15.53%","12.24%","19.52%","17.32%","14.15%","21.02%"
"26","Maryland","14.38%","11.78%","17.45%","5.27%","3.55%","7.76%","23.54%","18.31%","29.73%","14.08%","11.07%","17.74%","15.27%","12.46%","18.58%"
"27","Massachusetts","16.57%","13.50%","20.17%","6.77%","4.59%","9.87%","26.98%","20.56%","34.53%","15.84%","12.33%","20.12%","17.41%","14.13%","21.26%"
"28","Michigan","15.88%","13.74%","18.30%","7.14%","5.15%","9.82%","26.73%","22.29%","31.70%","15.15%","12.63%","18.08%","16.72%","14.40%","19.33%"
"29","Minnesota","16.18%","13.38%","19.45%","5.73%","3.80%","8.55%","24.54%","19.58%","30.29%","16.16%","12.83%","20.15%","17.26%","14.21%","20.80%"
"30","Mississippi","14.58%","11.78%","17.91%","6.48%","4.11%","10.08%","26.42%","19.93%","34.12%","13.69%","10.53%","17.60%","15.47%","12.44%","19.08%"
"31","Missouri","15.11%","12.42%","18.26%","6.81%","4.69%","9.78%","25.52%","19.79%","32.23%","14.47%","11.39%","18.20%","15.93%","13.04%","19.32%"
"32","Montana","18.28%","15.08%","21.99%","8.60%","5.78%","12.60%","29.94%","23.57%","37.20%","17.60%","13.93%","21.98%","19.22%","15.79%","23.20%"
"33","Nebraska","16.89%","14.11%","20.10%","7.13%","4.86%","10.34%","25.46%","19.89%","31.95%","16.74%","13.44%","20.65%","18.00%","14.97%","21.49%"
"34","Nevada","14.03%","11.23%","17.39%","4.65%","2.92%","7.33%","22.25%","16.74%","28.96%","13.95%","10.70%","17.99%","14.95%","11.92%","18.59%"
"35","New Hampshire","16.25%","13.31%","19.69%","7.46%","5.01%","10.96%","29.10%","22.94%","36.13%","15.24%","11.92%","19.28%","17.00%","13.85%","20.68%"
"36","New Jersey","14.65%","11.87%","17.94%","7.26%","4.98%","10.47%","26.12%","20.62%","32.48%","13.85%","10.66%","17.79%","15.37%","12.37%","18.93%"
"37","New Mexico","15.75%","12.54%","19.59%","7.75%","5.06%","11.70%","22.45%","16.96%","29.11%","15.67%","11.94%","20.29%","16.58%","13.13%","20.71%"
"38","New York","14.20%","12.38%","16.24%","6.49%","4.64%","9.00%","23.52%","19.45%","28.15%","13.58%","11.48%","16.00%","14.88%","12.92%","17.07%"
"39","North Carolina","12.73%","10.56%","15.28%","5.13%","3.38%","7.70%","25.32%","20.14%","31.30%","11.67%","9.22%","14.66%","13.48%","11.14%","16.23%"
"40","North Dakota","15.45%","12.62%","18.77%","6.53%","4.29%","9.82%","26.11%","20.19%","33.05%","14.58%","11.26%","18.66%","16.37%","13.31%","19.98%"
"41","Ohio","14.60%","12.57%","16.89%","6.81%","4.80%","9.57%","24.13%","19.29%","29.74%","14.03%","11.70%","16.74%","15.36%","13.18%","17.84%"
"42","Oklahoma","15.09%","12.29%","18.40%","6.07%","4.01%","9.09%","25.77%","19.86%","32.71%","14.48%","11.23%","18.46%","16.07%","13.02%","19.67%"
"43","Oregon","18.22%","15.14%","21.77%","7.97%","5.39%","11.63%","28.83%","22.69%","35.87%","17.74%","14.21%","21.93%","19.13%","15.83%","22.93%"
"44","Pennsylvania","15.18%","13.00%","17.66%","6.85%","4.87%","9.54%","24.53%","19.91%","29.81%","14.69%","12.15%","17.65%","15.94%","13.59%","18.60%"
"45","Rhode Island","15.87%","12.79%","19.54%","6.60%","4.33%","9.94%","28.34%","21.80%","35.94%","14.73%","11.25%","19.04%","16.66%","13.38%","20.55%"
"46","South Carolina","13.31%","10.77%","16.33%","5.26%","3.39%","8.07%","25.29%","19.46%","32.17%","12.46%","9.58%","16.06%","14.08%","11.35%","17.35%"
"47","South Dakota","17.46%","14.41%","21.00%","7.37%","5.00%","10.75%","27.26%","21.42%","34.00%","17.15%","13.55%","21.46%","18.55%","15.24%","22.38%"
"48","Tennessee","13.24%","10.87%","16.03%","6.13%","4.10%","9.06%","27.94%","22.04%","34.72%","11.84%","9.20%","15.10%","13.94%","11.40%","16.94%"
"49","Texas","11.29%","9.72%","13.08%","5.79%","4.05%","8.22%","19.91%","15.82%","24.75%","10.57%","8.74%","12.73%","11.93%","10.22%","13.88%"
"50","Utah","11.80%","9.69%","14.30%","5.70%","3.75%","8.59%","18.48%","13.71%","24.42%","11.39%","8.90%","14.47%","12.64%","10.31%","15.39%"
"51","Vermont","16.94%","14.23%","20.05%","7.91%","5.37%","11.49%","33.07%","26.91%","39.89%","15.17%","12.13%","18.79%","17.69%","14.81%","20.99%"
"52","Virginia","13.87%","11.61%","16.48%","6.99%","4.79%","10.08%","23.57%","18.54%","29.47%","13.15%","10.58%","16.22%","14.53%","12.11%","17.34%"
"53","Washington","17.51%","14.53%","20.96%","6.27%","4.16%","9.35%","26.42%","20.56%","33.25%","17.46%","13.97%","21.61%","18.59%","15.36%","22.30%"
