,Long,Lat,Code,Campground,Type,City,State
,41.651,-73.098,BLAC,Black Rock State Park,SP,Thomaston,CT
,41.484,-72.342,DEVI,Devils Hopyard State Park,SP,East Haddam,CT
,41.534,-71.811,GREE,Green Falls - Pachaug State Forest,SF,,CT
,41.265,-72.556,HAMM,Hammonasset State Park,SP,Madison,CT
,41.935,-73.004,HAWS,Haws Memorial - American Legion State Forest,SF,Barkhamsted,CT
,41.602,-71.926,HOPE,Hopeville Pond State Park,SP,Griswold,CT
,41.823,-73.377,HOUS,Housatonic Meadows State Park,SP,Sharon,CT
,41.421,-73.205,KETT,Kettletown State Park,SP,Southbury,CT
,41.709,-73.384,LAKE,Lake Waramaug State Park,SP,Kent,CT
,41.777,-73.494,MACE,Macedonia Brook State Park,SP,Kent,CT
,41.859,-71.985,MASH,Mashamoquet Brook State Park,SP,Pomfret Center,CT
,41.593,-71.869,MOUN,Mount Misery - Pachaug State Forest,SF,Voluntown,CT
,41.71,-73.224,POIN,Point Folly - White Memorial,CP,Bantam,CT
,41.31,-72.243,ROCK,Rocky Neck State Park,SP,Niantic,CT
,41.651,-72.093,SALT,Salt Rock State Park,SP,Baltic,CT
,41.954,-71.894,WEST,West Thompson Lake,COE,,CT
,41.727,-73.216,WIND,Windmill Hill - White Memorial,CP,Litchfield,CT
,41.852,-71.971,WOLF,Wolf Den - Mashamoquet Brook State Park,SP,Pomfret Center,CT
,38.78,-75.117,CAPE,Cape Henlopen State Park,SP,Lewes,DE
,38.606,-75.066,DELA,Delaware Seashore State Park,SP,Rehoboth Beach,DE
,39.114,-75.457,DOVE,Dover AFB Military,MIL,Dover,DE
,38.979,-75.534,KILL,Killens Pond State Park,SP,Felton,DE
,39.548,-75.718,LUMS,Lums Pond State Park,SP,Kirkwood,DE
,38.645,-75.6,SORO,Soroptimist Park,CP,Seaford,DE
,38.53,-75.476,TRAP,Trap Pond State Park,SP,Laurel,DE
,42.608,-72.533,BART,Barton Cove,UTIL,Gill,MA
,42.205,-73.292,BEAR,Beartown State Forest,SF,Monterey,MA
,41.751,-70.593,BOUR,Bourne Scenic City Park,CP,Bourne,MA
,42.254,-72.934,CHES,Chester - Blanford State Forest,SF,Chester,MA
,42.734,-73.076,CLAR,Clarksburg State Park,SP,Clarksburg,MA
,42.456,-72.791,DARS,DAR State Forest,SF,Ashfield,MA
,42.607,-72.408,ERVI,Erving State Forest,SF,Erving,MA
,42.161,-70.706,FOUR,Fourth Cliff Military,MIL,Marshfield,MA
