,Long,Lat,Code,Campground,Type,City,State
,32.977,-85.214,AMIT,Amity,COE,Lanett,AL
,33.621,-85.963,ANNI,Anniston Army Depot RV Military,MIL,Anniston,AL
,34.427,-87.924,BEA3,Bear Creek Lakes,AUTH,Russellville,AL
,34.448,-87.966,BEA2,Bear Creek Lakes,AUTH,Hodges,AL
,31.806,-87.422,BELL,Bells Landing,COE,Camden,AL
,32.552,-87.877,BELM,Belmont Park,COE,Belmont,AL
,33.72,-85.56,BIGO,Big Oak Gap Hunter Camp,NF,Heflin,AL
,31.738,-88.196,BLAD,Bladon Springs State Park,SP,Bladon Springs,AL
,30.714,-87.902,BLAK,Blakeley State Park,SP,Spanish Fort,AL
,33.437,-87.38,BLUE,Blue Creek,COE,Windham Spring,AL
,31.661,-85.507,BLUE,Blue Springs State Park,SP,Clio,AL
,32.186,-85.014,BLUF,Bluff Creek,COE,Pittsview,AL
,33.04,-86.948,BRIA,Brierfield Ironworks Historical Park,SP,Montevallo,AL
,34.298,-87.272,BRUS,Brushy Lake,NF,Moulton,AL
,34.472,-86.051,BUCK,Bucks Pocket State Park,SP,Grove Oak,AL
,33.45,-87.349,BURC,Burchfield Branch Park,COE,Adger,AL
,32.957,-85.218,BURN,Burnt Village,CP,Lanett,AL
,34.572,-86.23,CATH,Cathedral Caverns State Park,SP,Woodville,AL
,31.003,-85.031,CHAP,Chattahoochee Park,CP,Gordon,AL
,33.477,-85.808,CHEA,Cheaha State Park,SP,Delta,AL
,32.554,-85.48,CHEW,Chewacla State Park,SP,Auburn,AL
,30.779,-88.108,CHIB,Chickasabogue Park, ,Mobile,AL
,32.363,-87.78,CHIK,Chickasaw State Park,SP,Gallion,AL
,32.141,-87.274,CHIA,Chilatchee Creek,NF,Alberta,AL
,31.064,-88.319,CITR,Citronelle Lakeview RV Park,CP,Citronelle,AL
,34.02,-87.26,CLEA,Clear Creek,NF,Jasper,AL
,33.084,-88.27,COCH,Cochrane,COE,Aliceville,AL
,34.854,-88.085,COLB,Colbert County Rose Trail Park,CP,Cherokee,AL
,33.785,-85.558,COLE,Coleman Lake Rec Area,NF,Jacksonville,AL
,34.1,-87.32,CORI,Corinth,NF,Double Springs,AL
,31.615,-87.556,DAMS,Damsite West Bank,COE,Gosport,AL
,30.25,-88.079,DAUP,Dauphin Island City Park,CP,Dauphin Island,AL
,34.501,-85.618,DESO,De Soto State Park,SP,Fort Payne,AL
,33.257,-87.435,DEER,Deerlick,COE,Tuscaloosa,AL
,34.577,-85.807,DEKA,Dekalb County Public Lake,CP,Sylvania,AL
,34.575,-86.558,DITT,Ditto Landing City Campground,CP,Huntsville,AL
,32.116,-87.389,EAST,East Bank/Millers Ferry,COE,Camden,AL
,34.588,-86.684,EAST,Easter Posey MWR Military - Redstone Arsenal,MIL,Valhermoso Springs,AL
,34.448,-87.966,ELLI,Elliot Branch - Bear Creek  Auth,AUTH,Hodges,AL
,32.164,-87.115,ELMB,Elm Bluff - William Dannelly Reservoir,COE,Camden,AL
,31.409,-85.716,ENGI,Engineer Beach RV Military - Fort Rucker,MIL,Ozark,AL
,30.998,-86.318,FLOR,Florala State Park,SP,Florala,AL
,32.634,-87.879,FORK,Forkland/McConnico Creek,COE,Demopolis,AL
,32.508,-86.252,FORL,Fort Toulouse/Jackson Park,NP,Montgomery,AL
,32.515,-87.867,FOSC,Foscue,COE,Demopolis,AL
,31.346,-86.281,FRAN,Frank Jackson State Park,SP,Opp,AL
,34.586,-86.083,GOOS,Goose Pond Colony,CP,Scottsboro,AL
,30.268,-87.65,GULF,Gulf State Park,SP,Gulf Shores,AL
,32.36,-86.482,GUNT,Gunter Hill,COE,Montgomery,AL
,31.725,-87.469,HAIN,Haines Island,COE,Camden,AL
