,Lat,Long,Code,Campground,Type,City,State
,32.18,-110.861,AGAV,Agave Gulch Military,MIL,,AZ
,34.231,-113.579,ALAM,Alamo Lake State Park,SP,Wenden,AZ
,33.895,-109.153,ALPI,Alpine Divide,NF,Alpine,AZ
,34.589,-112.561,ALTO,Alto Pit,NF,Prescott,AZ
,31.56,-110.366,APAF,Apache Flats Military -  Fort Huachuca,MIL,Sierra Vista,AZ
,32.649,-109.819,ARCA,Arcadia,NF,Safford,AZ
,35.018,-111.409,ASHU,Ashurst Lake,NF,Flagstaff,AZ
,34.327,-110.946,ASPN,Aspen,NF,Payson,AZ
,33.807,-109.314,ASPE,Aspen,NF,,AZ
,33.714,-111.204,BACH,Bachelors Cove,NF,Roosevelt,AZ
,33.84,-111.639,BART,Bartlett Flat,NF,Carefree,AZ
,31.781,-109.307,BATH,Bathtub,NF,Elfrida,AZ
,34.67,-111.714,BEAV,Beaver Creek,NF,Camp Verde,AZ
,34.044,-109.449,BENN,Benny Creek,NF,Eagar,AZ
,33.746,-111.226,BERM,Bermuda Flat,NF,Roosevelt,AZ
,34.305,-110.743,BLAC,Black Canyon Rim,NF,Forest Lakes,AZ
,33.057,-109.08,BLAK,Black Jack,NF,Clifton,AZ
,34.591,-111.201,BLUE,Blue Ridge,NF,Winslow,AZ
,31.727,-110.876,BOGS,Bog Springs,NF,Green Valley,AZ
,32.011,-109.355,BONC,Bonita Canyon - Chiricahua National Monument,NP,Willcox,AZ
,33.065,-109.576,BONT,Bonito,NF,,AZ
,35.372,-111.556,BONI,Bonito - Sunset Crater National Monument,NP,Flagstaff,AZ
,34.969,-111.75,BOOT,Bootlegger,NF,Sedona,AZ
,34.071,-109.918,BOOL,Bootlegger,NF,,AZ
,33.928,-114.02,BOUS,Bouse Community Park,CP,Bouse,AZ
,33.74,-111.66,BOXB,Box Bar,NF,Scottsdale,AZ
,33.876,-109.413,BROO,Brookchar,NF,Eagar,AZ
,33.277,-112.642,BUCK,Buckeye Hills Co Park,CP,Buckeye,AZ
,34.254,-114.161,BUCK,Buckskin State Park,SP,Parker,AZ
,33.768,-109.355,BUFF,Buffalo Crossing,NF,Alpine,AZ
,33.626,-111.203,BURN,Burnt Corral,NF,Roosevelt,AZ
,34.538,-113.45,BURR,Burro Creek,BLM,Wikieup,AZ
,31.758,-109.37,CAMR,Camp Rucker, ,Douglas,AZ
,34.32,-110.823,CANP,Canyon Point,NF,,AZ
,35.125,-111.599,CANV,Canyon Vista,NF,Flagstaff,AZ
