,Lat,Long,Code,Campground,Type,City,State
31,30.25,-88.079,DAUP,Dauphin Island City Park,CP,Dauphin Island,AL
47,30.268,-87.65,GULF,Gulf State Park,SP,Gulf Shores,AL
76,30.67,-87.931,MEAH,Meaher State Park,SP,Spanish Fort,AL
8,30.714,-87.902,BLAK,Blakeley State Park,SP,Spanish Fort,AL
21,30.779,-88.108,CHIB,Chickasabogue Park, ,Mobile,AL
77,30.907,-87.978,MOBI,Mobile County Marina,CP,Creola,AL
41,30.998,-86.318,FLOR,Florala State Park,SP,Florala,AL
18,31.003,-85.031,CHAP,Chattahoochee Park,CP,Gordon,AL
24,31.064,-88.319,CITR,Citronelle Lakeview RV Park,CP,Citronelle,AL
66,31.07,-88.317,LAKV,Lakeview RV City Park,CP,Citronelle; Fr,AL
83,31.09,-86.55,OPEN,Open Pond Recreation Area,NF,Lockhart,AL
55,31.192,-85.373,HOUC,Houston County Center,CP,Dothan,AL
82,31.276,-85.117,OMUS,Omussee Creek County Rec Area,CP,,AL
45,31.346,-86.281,FRAN,Frank Jackson State Park,SP,Opp,AL
40,31.409,-85.716,ENGI,Engineer Beach RV Military - Fort Rucker,MIL,Ozark,AL
106,31.561,-88.04,STEP,St. Stephens Historical Park,CP,St. Stephens,AL
81,31.574,-88.032,OLD1,Old Lock 1 - Coffeeville Lake,COE,Coffeeville,AL
30,31.615,-87.556,DAMS,Damsite West Bank,COE,Gosport,AL
56,31.622,-87.55,ISAA,Isaac Creek,COE,Camden,AL
50,31.644,-85.113,HARD,Hardridge Creek,COE,Ft Gaines GA,AL
10,31.661,-85.507,BLUE,Blue Springs State Park,SP,Clio,AL
100,31.665,-87.573,SILV,Silver Creek,COE,Gosport,AL
49,31.725,-87.469,HAIN,Haines Island,COE,Camden,AL
7,31.738,-88.196,BLAD,Bladon Springs State Park,SP,Bladon Springs,AL
97,31.746,-88.144,SERV,Service,COE,,AL
112,31.777,-85.147,WHIT,White Oak Creek,COE,Eufaula,AL
4,31.806,-87.422,BELL,Bells Landing,COE,Camden,AL
67,31.856,-88.16,LENO,Lenoir Landing - Coffeeville Lake,COE,Toxey,AL
99,31.903,-86.678,SHER,Sherling Lake City Park,CP,Greenville.,AL
65,31.988,-85.114,LAKP,LakePoint State Park,SP,Eufaula,AL
95,32.057,-87.249,ROLA,Roland Cooper State Park,SP,Camden,AL
36,32.116,-87.389,EAST,East Bank/Millers Ferry,COE,Camden,AL
23,32.141,-87.274,CHIA,Chilatchee Creek,NF,Alberta,AL
39,32.164,-87.115,ELMB,Elm Bluff - William Dannelly Reservoir,COE,Camden,AL
11,32.186,-85.014,BLUF,Bluff Creek,COE,Pittsview,AL
101,32.327,-87.01,SIXM,Six Mile Creek,COE,Selma,AL
92,32.338,-86.77,PRAI,Prairie Creek,COE,Lowndesboro,AL
48,32.36,-86.482,GUNT,Gunter Hill,COE,Montgomery,AL
22,32.363,-87.78,CHIK,Chickasaw State Park,SP,Gallion,AL
73,32.371,-86.37,MAXW,Maxwell/Gunter AFB Military,MIL,,AL
60,32.399,-86.785,JONE,Jones Bluff,COE,,AL
43,32.508,-86.252,FORL,Fort Toulouse/Jackson Park,NP,Montgomery,AL
44,32.515,-87.867,FOSC,Foscue,COE,Demopolis,AL
5,32.552,-87.877,BELM,Belmont Park,COE,Belmont,AL
20,32.554,-85.48,CHEW,Chewacla State Park,SP,Auburn,AL
96,32.555,-87.844,RUNA,Runaway Branch,COE,Demopolis,AL
68,32.587,-87.744,LOC5,Lock 5,COE,Cedarville,AL
105,32.592,-85.302,SPRI,Spring Villa Campground,CP,Opelika,AL
84,32.598,-86.991,PAUL,Paul M Grist State Park,SP,Selma,AL
42,32.634,-87.879,FORK,Forkland/McConnico Creek,COE,Demopolis,AL
64,32.778,-85.824,LAKE,Lake Martin Military,MIL,Dadeville,AL
69,32.785,-87.837,LOC7,Lock 7,COE,Eutaw,AL
58,32.81,-87.807,JENN,Jennings Ferry,COE,Akron,AL
115,32.854,-85.925,WIND,Wind Creek State Park,SP,Alexander City,AL
108,32.872,-88.185,SUMT,Sumter Rec Area,COE,Livingston,AL
86,32.881,-87.446,PYLS,Payne Lake Spillway,NF,Duncanville,AL
85,32.884,-87.44,PYLE,Payne Lake East Side,NF,Duncanville,AL
87,32.889,-87.444,PYLW,Payne Lake West Side,NF,Duncanville,AL
70,32.893,-87.783,LOC8,Lock 8,COE,Akron,AL
16,32.957,-85.218,BURN,Burnt Village,CP,Lanett,AL
0,32.977,-85.214,AMIT,Amity,COE,Lanett,AL
12,33.04,-86.948,BRIA,Brierfield Ironworks Historical Park,SP,Montevallo,AL
26,33.084,-88.27,COCH,Cochrane,COE,Aliceville,AL
88,33.235,-88.304,PICK,Pickensville,COE,Carrollton,AL
109,33.251,-87.068,TANN,Tannehill Ironworks Historical State Park,SP,McCalla,AL
51,33.254,-87.43,HOLT,Holt Lake,COE,Cottondale,AL
33,33.257,-87.435,DEER,Deerlick,COE,Tuscaloosa,AL
63,33.296,-87.677,LAKL,Lake Lurleen State Park,SP,Coker,AL
52,33.338,-86.853,HOOV,Hoover RV Park,CP,Hoover,AL
80,33.353,-86.718,OAKM,Oak Mountain State Park,SP,Pelham,AL
9,33.437,-87.38,BLUE,Blue Creek,COE,Windham Spring,AL
110,33.444,-85.842,TURN,Turnipseed Hunter Camp,NF,Oxford,AL
